t [s]	Ux [V]	Uy [V]
3,84388	-1,384095	0,006354
3,85388	-1,381546	0,008906
3,86388	-1,381546	0,008906
3,87388	-1,384095	0,006354
3,88388	-1,387919	0,003802
3,89388	-1,384095	0,006354
3,90388	-1,384095	0,005078
3,91388	-1,384095	0,008906
3,92388	-1,38537	0,010181
3,940058	-1,387919	0,002526
3,950058	-1,384095	0,006354
3,960058	-1,38537	0,003802
3,970058	-1,387919	0,003802
3,980058	-1,386645	0,006354
3,990058	-1,38537	0,006354
4,000058	-1,387919	0,006354
4,010058	-1,38537	0,008906
4,020058	-1,382821	0,005078
4,030058	-1,387919	0,003802
4,057553	-1,387919	0,002526
4,067553	-1,387919	0,006354
4,077553	-1,384095	0,008906
4,087553	-1,384095	0,002526
4,097553	-1,38537	0,008906
4,107553	-1,384095	0,002526
4,117553	-1,381546	0,008906
4,127553	-1,387919	0,003802
4,137553	-1,381546	0,008906
4,147553	-1,386645	0,002526
4,170675	-1,381546	0,008906
4,180675	-1,387919	0,001251
4,190675	-1,38537	0,006354
4,200675	-1,384095	0,008906
4,210675	-1,384095	0,008906
4,220675	-1,384095	0,006354
4,230675	-1,381546	0,005078
4,240675	-1,38537	0,006354
4,250675	-1,38537	0,006354
4,260675	-1,38537	0,003802
4,2804	-1,38537	0,006354
4,2904	-1,38537	0,006354
4,3004	-1,381546	0,006354
4,3104	-1,384095	0,010181
4,3204	-1,381546	0,008906
4,3304	-1,38537	0,00763
4,3404	-1,387919	0,002526
4,3504	-1,387919	0,003802
4,3604	-1,384095	0,006354
4,3704	-1,381546	0,008906
4,387977	-1,381546	0,008906
4,397977	-1,384095	0,008906
4,407977	-1,38537	0,006354
4,417977	-1,381546	0,006354
4,427977	-1,384095	0,006354
4,437977	-1,386645	0,002526
4,447977	-1,387919	0,002526
4,457977	-1,384095	0,005078
4,467977	-1,387919	0,002526
4,477977	-1,384095	0,003802
4,492507	-1,387919	0,002526
4,502507	-1,386645	0,003802
4,512507	-1,38537	0,006354
4,522507	-1,38537	0,006354
4,532507	-1,381546	0,006354
4,542507	-1,384095	0,00763
4,552507	-1,381546	0,008906
4,562507	-1,38537	0,008906
4,572507	-1,387919	0,005078
4,582507	-1,381546	0,00763
4,609745	-1,387919	0,002526
4,619745	-1,387919	0,002526
4,629745	-1,384095	0,003802
4,639745	-1,381546	0,006354
4,649745	-1,381546	0,010181
4,659745	-1,382821	0,006354
4,669745	-1,384095	0,010181
4,679745	-1,38537	0,00763
4,689745	-1,384095	0,002526
4,699745	-1,38537	0,003802
4,728025	-1,384095	0,006354
4,738025	-1,384095	0,006354
4,748025	-1,384095	0,006354
4,758025	-1,381546	0,008906
4,768025	-1,381546	0,006354
4,778025	-1,381546	0,010181
4,788025	-1,381546	0,006354
4,798025	-1,384095	0,006354
4,808025	-1,382821	0,006354
4,818025	-1,389194	0,005078
4,832314	-1,381546	0,010181
4,842314	-1,384095	0,006354
4,852314	-1,387919	0,002526
4,862314	-1,387919	0,003802
4,872314	-1,384095	0,005078
4,882314	-1,384095	0,008906
4,892314	-1,387919	0,002526
4,902314	-1,381546	0,008906
4,912314	-1,38537	0,005078
4,922314	-1,38537	0,006354
4,935919	-1,380272	0,008906
4,945919	-1,38537	0,006354
4,955919	-1,384095	0,006354
4,965919	-1,387919	0,003802
4,975919	-1,386645	0,003802
4,985919	-1,38537	0,005078
4,995919	-1,384095	0,006354
5,005919	-1,381546	0,006354
5,015919	-1,387919	0,006354
5,025919	-1,384095	0,001251
5,048446	-1,386645	0,002526
5,058446	-1,382821	0,006354
5,068446	-1,384095	0,006354
5,078446	-1,38537	0,003802
5,088446	-1,384095	0,006354
5,098446	-1,382821	0,00763
5,108446	-1,387919	0,006354
5,118446	-1,387919	0,006354
5,128446	-1,387919	0,005078
5,138446	-1,387919	0,002526
5,161604	-1,38537	0,006354
5,171604	-1,384095	0,006354
5,181604	-1,38537	0,00763
5,191604	-1,387919	0,002526
5,201604	-1,386645	0,002526
5,211604	-1,384095	0,00763
5,221604	-1,384095	0,006354
5,231604	-1,384095	0,003802
5,241604	-1,384095	0,010181
5,251604	-1,384095	0,002526
5,282099	-1,381546	0,006354
5,292099	-1,387919	0,006354
5,302099	-1,387919	0,002526
5,312099	-1,384095	0,006354
5,322099	-1,381546	0,008906
5,332099	-1,381546	0,006354
5,342099	-1,381546	0,00763
5,352099	-1,382821	0,003802
5,362099	-1,381546	0,006354
5,372099	-1,38537	0,002526
5,39905	-1,384095	0,008906
5,40905	-1,387919	0,005078
5,41905	-1,386645	0,006354
5,42905	-1,384095	0,003802
5,43905	-1,38537	0,006354
5,44905	-1,384095	0,006354
5,45905	-1,381546	0,008906
5,46905	-1,382821	0,008906
5,47905	-1,382821	0,008906
5,48905	-1,387919	0,006354
5,514539	-1,381546	0,008906
5,524539	-1,381546	0,006354
5,534539	-1,381546	0,00763
5,544539	-1,387919	0,002526
5,554539	-1,38537	0,006354
5,564539	-1,382821	0,006354
5,574539	-1,387919	0,002526
5,584539	-1,381546	0,010181
5,594539	-1,387919	0,002526
5,604539	-1,384095	0,006354
5,624321	-1,387919	0,002526
5,634321	-1,381546	0,006354
5,644321	-1,387919	0,002526
5,654321	-1,381546	0,006354
5,664321	-1,387919	0,002526
5,674321	-1,381546	0,008906
5,684321	-1,381546	0,008906
5,694321	-1,38537	0,006354
5,704321	-1,384095	0,003802
5,714321	-1,381546	0,006354
5,744807	-1,389194	0,006354
5,754807	-1,381546	0,008906
5,764807	-1,384095	0,008906
5,774807	-1,387919	0,002526
5,784807	-1,381546	0,010181
5,794807	-1,384095	0,002526
5,804807	-1,384095	0,006354
5,814807	-1,387919	0,006354
5,824807	-1,387919	0,006354
5,834807	-1,384095	0,008906
5,860146	-1,389194	0,002526
5,870146	-1,384095	0,008906
5,880146	-1,38537	0,008906
5,890146	-1,381546	0,006354
5,900146	-1,387919	0,003802
5,910146	-1,380272	0,010181
5,920146	-1,38537	0,006354
5,930146	-1,38537	0,006354
5,940146	-1,387919	0,003802
5,950146	-1,381546	0,006354
5,977834	-1,386645	0,003802
5,987834	-1,387919	0,006354
5,997834	-1,382821	0,010181
6,007834	-1,382821	0,008906
6,017834	-1,389194	0,002526
6,027834	-1,381546	0,010181
6,037834	-1,387919	0,005078
6,047834	-1,382821	0,010181
6,057834	-1,387919	0,006354
6,067834	-1,384095	0,006354
6,08799	-1,384095	0,006354
6,09799	-1,38537	0,008906
6,10799	-1,387919	0,006354
6,11799	-1,384095	0,002526
6,12799	-1,387919	0,006354
6,13799	-1,381546	0,008906
6,14799	-1,381546	0,006354
6,15799	-1,38537	0,002526
6,16799	-1,387919	0,003802
6,17799	-1,384095	0,008906
6,201261	-1,384095	0,008906
6,211261	-1,384095	0,010181
6,221261	-1,381546	0,006354
6,231261	-1,384095	0,006354
6,241261	-1,381546	0,010181
6,251261	-1,38537	0,002526
6,261261	-1,384095	0,008906
6,271261	-1,381546	0,006354
6,281261	-1,384095	0,002526
6,291261	-1,382821	0,008906
6,320809	-1,386645	0,006354
6,330809	-1,386645	0,002526
6,340809	-1,381546	0,010181
6,350809	-1,38537	0,002526
6,360809	-1,384095	0,003802
6,370809	-1,381546	0,006354
6,380809	-1,387919	0,003802
6,390809	-1,381546	0,006354
6,400809	-1,381546	0,008906
6,410809	-1,384095	0,00763
6,426153	-1,384095	0,006354
6,436153	-1,384095	0,006354
6,446153	-1,38537	0,006354
6,456153	-1,38537	0,010181
6,466153	-1,38537	0,006354
6,476153	-1,38537	0,00763
6,486153	-1,384095	0,006354
6,496153	-1,389194	0,003802
6,506153	-1,384095	0,006354
6,516153	-1,387919	0,002526
6,53442	-1,387919	0,002526
6,54442	-1,381546	0,005078
6,55442	-1,384095	0,006354
6,56442	-1,384095	0,006354
6,57442	-1,381546	0,008906
6,58442	-1,389194	0,002526
6,59442	-1,380272	0,006354
6,60442	-1,381546	0,008906
6,61442	-1,387919	0,002526
6,62442	-1,38537	0,003802
6,645163	-1,381546	0,008906
6,655163	-1,387919	0,006354
6,665163	-1,384095	0,010181
6,675163	-1,387919	0,003802
6,685163	-1,381546	0,006354
6,695163	-1,384095	0,002526
6,705163	-1,381546	0,005078
6,715163	-1,382821	0,008906
6,725163	-1,384095	0,006354
6,735163	-1,384095	0,006354
6,758378	-1,386645	0,003802
6,768378	-1,381546	0,006354
6,778378	-1,386645	0,006354
6,788378	-1,384095	0,008906
6,798378	-1,384095	0,006354
6,808378	-1,384095	0,003802
6,818378	-1,384095	0,003802
6,828378	-1,38537	0,010181
6,838378	-1,384095	0,008906
6,848378	-1,384095	0,010181
6,87344	-1,38537	0,006354
6,88344	-1,387919	0,002526
6,89344	-1,381546	0,008906
6,90344	-1,387919	0,002526
6,91344	-1,384095	0,006354
6,92344	-1,38537	0,002526
6,93344	-1,381546	0,006354
6,94344	-1,384095	0,002526
6,95344	-1,38537	0,008906
6,96344	-1,381546	0,006354
6,983253	-1,380272	0,006354
6,993253	-1,387919	0,003802
7,003253	-1,384095	0,006354
7,013253	-1,384095	0,006354
7,023253	-1,387919	0,003802
7,033253	-1,381546	0,010181
7,043253	-1,387919	0,006354
7,053253	-1,387919	0,002526
7,063253	-1,387919	0,003802
7,073253	-1,384095	0,006354
7,097505	-1,381546	0,008906
7,107505	-1,384095	0,006354
7,117505	-1,384095	0,006354
7,127505	-1,381546	0,006354
7,137505	-1,381546	0,006354
7,147505	-1,387919	0,003802
7,157505	-1,384095	0,006354
7,167505	-1,384095	0,002526
7,177505	-1,381546	0,006354
7,187505	-1,384095	0,008906
7,211644	-1,389194	0,002526
7,221644	-1,384095	0,003802
7,231644	-1,382821	0,002526
7,241644	-1,387919	0,006354
7,251644	-1,384095	0,003802
7,261644	-1,38537	0,008906
7,271644	-1,38537	0,006354
7,281644	-1,386645	0,003802
7,291644	-1,386645	0,003802
7,301644	-1,381546	0,008906
7,331582	-1,38537	0,008906
7,341582	-1,384095	0,006354
7,351582	-1,384095	0,006354
7,361582	-1,384095	0,00763
7,371582	-1,38537	0,006354
7,381582	-1,384095	0,005078
7,391582	-1,381546	0,010181
7,401582	-1,387919	0,002526
7,411582	-1,386645	0,003802
7,421582	-1,384095	0,008906
7,443373	-1,381546	0,008906
7,453373	-1,381546	0,010181
7,463373	-1,38537	0,008906
7,473373	-1,382821	0,006354
7,483373	-1,381546	0,008906
7,493373	-1,387919	0,006354
7,503373	-1,386645	0,002526
7,513373	-1,384095	0,008906
7,523373	-1,387919	0,006354
7,533373	-1,384095	0,006354
7,553459	-1,386645	0,00763
7,563459	-1,387919	0,002526
7,573459	-1,381546	0,008906
7,583459	-1,381546	0,008906
7,593459	-1,387919	0,003802
7,603459	-1,381546	0,008906
7,613459	-1,387919	0,002526
7,623459	-1,381546	0,008906
7,633459	-1,387919	0,002526
7,643459	-1,387919	0,002526
7,666979	-1,384095	0,006354
7,676979	-1,381546	0,010181
7,686979	-1,387919	0,005078
7,696979	-1,381546	0,006354
7,706979	-1,384095	0,008906
7,716979	-1,387919	0,006354
7,726979	-1,381546	0,008906
7,736979	-1,387919	0,002526
7,746979	-1,384095	0,00763
7,756979	-1,384095	0,006354
7,779247	-1,381546	0,008906
7,789247	-1,387919	0,003802
